Program Name,University Name,City,Country,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
Mathematical Modelling and Machine Learning,University College Cork,Cork,Ireland,"3,382,767 BDT / year",1 year,4.3,173,2%,https://www.mastersportal.com/studies/352568/mathematical-modelling-and-machine-learning.html?ref=search_card
Computational Data Science,"University of California, Riverside",California,United States,"2,294,299 BDT / year",,4.8,8,2%,https://www.mastersportal.com/studies/486092/computational-data-science.html?ref=search_card
International Accounting and Analytics - Pathway B,University of Galway,Galway,Ireland,"1,902,807 BDT / year",1 year,4.1,86,2%,https://www.mastersportal.com/studies/315508/international-accounting-and-analytics-pathway-b.html?ref=search_card
Geographic Data Science and Spatial Analytics,University of Bristol,England,United Kingdom,"5,229,446 BDT / year",1 year,4.3,99,0.50%,https://www.mastersportal.com/studies/433011/geographic-data-science-and-spatial-analytics.html?ref=search_card
Computer and Information Systems Security,Virginia Commonwealth University,Virginia,United States,"2,431,021 BDT / year",,4.1,17,3%,https://www.mastersportal.com/studies/483543/computer-and-information-systems-security.html?ref=search_card
Computer Science,"University of Maryland, Baltimore County (UMBC)",Maryland,United States,"3,270,363 BDT / year",2 years,4.2,9,4%,https://www.mastersportal.com/studies/67492/computer-science.html?ref=search_card
Artificial Intelligence,Teesside University,England,United Kingdom,"2,727,011 BDT / year",1 year,4.3,83,7%,https://www.mastersportal.com/studies/313368/artificial-intelligence.html?ref=search_card
Software Engineering,University of Amsterdam,Amsterdam,Netherlands,"4,834,538 BDT / year",1 year,4.2,125,0.50%,https://www.mastersportal.com/studies/31629/software-engineering.html?ref=search_card
Business Analytics,University of Dundee,Scotland,United Kingdom,"3,689,486 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/349510/business-analytics.html?ref=search_card
Business Analytics,University of Dundee,Scotland,United Kingdom,"3,689,486 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/349510/business-analytics.html?ref=search_card
Computer Science (Conversion),Queen Mary University of London,England,United Kingdom,"4,804,353 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/475931/computer-science.html?ref=search_card
Cybersecurity with an Emphasis in Data Analytics - San Antonio,Webster University,Texas,United States,"2,455,392 BDT / year",1½ year,4,13,,https://www.mastersportal.com/studies/484748/cybersecurity-with-an-emphasis-in-data-analytics-san-antonio.html?ref=search_card
International Financial Analyst,INSEEC Grand École - Business School,Bordeaux,France,"1,718,164 BDT / year",1 year,4.4,17,,https://www.mastersportal.com/studies/428247/international-financial-analyst.html?ref=search_card
Responsible Data Analytics,De Montfort University,England,United Kingdom,"3,120,022 BDT / year",1 year,4.1,122,5%,https://www.mastersportal.com/studies/476313/responsible-data-analytics.html?ref=search_card
Advanced Computer Science,University of Birmingham,England,United Kingdom,"5,572,728 BDT / year",1 year,4.2,69,0.50%,https://www.mastersportal.com/studies/2901/advanced-computer-science.html?ref=search_card
Computer Networking and Cyber Security with Work Experience,London Metropolitan University,England,United Kingdom,"3,288,455 BDT / year",1½ year,4.2,136,7%,https://www.mastersportal.com/studies/272431/computer-networking-and-cyber-security-with-work-experience.html?ref=search_card
Computer Network Administration And Management,University of Portsmouth,England,United Kingdom,"3,079,919 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/4407/computer-network-administration-and-management.html?ref=search_card
Computer Science by Research,Queen Mary University of London,England,United Kingdom,"4,804,353 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/348643/computer-science-by-research.html?ref=search_card
Information Systems,University of Portsmouth,England,United Kingdom,"3,079,919 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/4416/information-systems.html?ref=search_card
Human-Computer Interaction,Newcastle University,England,United Kingdom,"5,181,322 BDT / year",1 year,4.3,90,1%,https://www.mastersportal.com/studies/301651/human-computer-interaction.html?ref=search_card
Human Centred Artificial Intelligence,Bournemouth University,England,United Kingdom,"3,007,733 BDT / year",1 year,4.1,75,4%,https://www.mastersportal.com/studies/412254/human-centred-artificial-intelligence.html?ref=search_card
Data Analytics Engineering,Northeastern University,N/A,Multiple locations,"3,760,954 BDT / year",2 years,4.4,79,2%,https://www.mastersportal.com/studies/316521/data-analytics-engineering.html?ref=search_card
Health Data in Practice,Queen Mary University of London,England,United Kingdom,"3,890,002 BDT / year",1 year,4.1,120,1%,https://www.mastersportal.com/studies/476265/health-data-in-practice.html?ref=search_card
Data Science and Artificial Intelligence,TBS Education,Toulouse,France,"2,748,498 BDT / year",1 year,4.3,28,8%,https://www.mastersportal.com/studies/433467/data-science-and-artificial-intelligence.html?ref=search_card
Statistical Data Science,University College Dublin,Dublin,Ireland,"3,175,573 BDT / year",1 year,4.3,184,1%,https://www.mastersportal.com/studies/263089/statistical-data-science.html?ref=search_card
Data Science,South East Technological University,Carlow,Ireland,"2,114,230 BDT / year",1 year,4.2,26,,https://www.mastersportal.com/studies/207051/data-science.html?ref=search_card
Digital Design (3D Animation),Brunel University of London,England,United Kingdom,"3,977,426 BDT / year",1 year,3.9,154,2%,https://www.mastersportal.com/studies/375397/digital-design.html?ref=search_card
Human and Social Data Science,University of Sussex,England,United Kingdom,"3,621,311 BDT / year",1 year,4.2,82,1%,https://www.mastersportal.com/studies/335555/human-and-social-data-science.html?ref=search_card
Applied Informatics - Artificial Intelligence and Data Science,Vrije Universiteit Brussel (VUB),Brussels,Belgium,"749,847 BDT / year",1 year,4,91,2%,https://www.mastersportal.com/studies/379401/applied-informatics-artificial-intelligence-and-data-science.html?ref=search_card
Artificial Intelligence (AI) and Machine Learning,University of Birmingham,England,United Kingdom,"5,572,728 BDT / year",1 year,4.2,69,0.50%,https://www.mastersportal.com/studies/309532/artificial-intelligence-and-machine-learning.html?ref=search_card
Cyber Physical Systems (2 year),University of Nottingham,England,United Kingdom,"3,464,909 BDT / year",2 years,4.3,127,0.50%,https://www.mastersportal.com/studies/306180/cyber-physical-systems.html?ref=search_card
Master of Business Analytics (Information Technology),Kaplan Business School,South Australia,Australia,"2,090,573 BDT / year",2 years,4.8,4,,https://www.mastersportal.com/studies/465201/master-of-business-analytics.html?ref=search_card
Data Management and Artificial Intelligence,Écoles d'Ingénieurs - Engineering School (ECE),Bordeaux,France,"1,577,215 BDT / year",2 years,4,2,,https://www.mastersportal.com/studies/466425/data-management-and-artificial-intelligence.html?ref=search_card
Engineering,Télécom Paris,Paris,France,"683,601 BDT / year",2 years,4.3,3,4%,https://www.mastersportal.com/studies/336879/engineering.html?ref=search_card
Computer Animation,University of Portsmouth,England,United Kingdom,"2,871,383 BDT / year",1 year,4,113,3%,https://www.mastersportal.com/studies/326519/computer-animation.html?ref=search_card
AI and Digital Chemistry,University of Nottingham,England,United Kingdom,,1 year,4.3,127,0.50%,https://www.mastersportal.com/studies/482979/ai-and-digital-chemistry.html?ref=search_card
Computer Science,University of Idaho,Idaho,United States,"3,771,921 BDT / year",1 year,4.3,9,6%,https://www.mastersportal.com/studies/66987/computer-science.html?ref=search_card
Health Technology,UWE Bristol (University of the West of England),England,United Kingdom,"2,767,115 BDT / year",1 year,4.4,110,4%,https://www.mastersportal.com/studies/430290/health-technology.html?ref=search_card
AI and Government,University of Birmingham Dubai,Dubai,United Arab Emirates,"5,333,118 BDT / year",1 year,4.3,7,4%,https://www.mastersportal.com/studies/476544/ai-and-government.html?ref=search_card
Data Science for Food and Health,Wageningen University and Research,Wageningen,Netherlands,"2,988,111 BDT / year",2 years,4.4,62,0.50%,https://www.mastersportal.com/studies/342657/data-science-for-food-and-health.html?ref=search_card
Computer Science,University of Bath,England,United Kingdom,"4,459,466 BDT / year",1 year,4.4,60,2%,https://www.mastersportal.com/studies/290049/computer-science.html?ref=search_card
Advanced Computer Networks (Work Experience),Sheffield Hallam University,England,United Kingdom,"1,541,884 BDT / year",2 years,4.2,89,5%,https://www.mastersportal.com/studies/444430/advanced-computer-networks.html?ref=search_card
Health Data Science and Statistics,University of Plymouth,England,United Kingdom,"3,272,414 BDT / year",1 year,4.3,104,3%,https://www.mastersportal.com/studies/477371/health-data-science-and-statistics.html?ref=search_card
Geographical Information Science and Earth Observation,The University of Edinburgh,Scotland,United Kingdom,"6,063,590 BDT / year",1 year,4.1,150,0.50%,https://www.mastersportal.com/studies/65367/geographical-information-science-and-earth-observation.html?ref=search_card
Big Data and Data Science Technology with Advanced Practice,Northumbria University,England,United Kingdom,"3,360,641 BDT / year","1 year, 4 months",4.2,181,3%,https://www.mastersportal.com/studies/352592/big-data-and-data-science-technology-with-advanced-practice.html?ref=search_card
Artificial Intelligence,Northumbria University,England,United Kingdom,"3,360,641 BDT / year",1 year,4.2,181,3%,https://www.mastersportal.com/studies/448012/artificial-intelligence.html?ref=search_card
Business Analytics and Decision Sciences,Leeds University Business School,England,United Kingdom,,1 year,4.4,72,,https://www.mastersportal.com/studies/46519/business-analytics-and-decision-sciences.html?ref=search_card
Management of Information Systems and Digital Innovation,Leeds University Business School,England,United Kingdom,,1 year,4.4,72,,https://www.mastersportal.com/studies/46523/management-of-information-systems-and-digital-innovation.html?ref=search_card
Data Science and Intelligent Analytics,FH Kufstein Tirol - University of Applied Sciences,Kufstein,Austria,"51,164 BDT / year",2 years,3.5,4,,https://www.mastersportal.com/studies/468858/data-science-and-intelligent-analytics.html?ref=search_card
Data Analytics and Human Resource Management,Leeds University Business School,England,United Kingdom,,1 year,4.4,72,,https://www.mastersportal.com/studies/300945/data-analytics-and-human-resource-management.html?ref=search_card
Sustainable Digitalisation,KTH Royal Institute of Technology,Stockholm,Sweden,"2,301,185 BDT / year",2 years,4.3,44,1%,https://www.mastersportal.com/studies/409448/sustainable-digitalisation.html?ref=search_card
Smart Products and AI-driven Development,FH Kufstein Tirol - University of Applied Sciences,Kufstein,Austria,"51,164 BDT / year",2 years,3.5,4,,https://www.mastersportal.com/studies/468860/smart-products-and-ai-driven-development.html?ref=search_card
Data Science,Griffith University,N/A,Multiple locations,"3,548,022 BDT / year",2 years,4.1,34,2%,https://www.mastersportal.com/studies/461748/data-science.html?ref=search_card
Research Master in Health Sciences - Clinical Research,Erasmus MC - Graduate School,Rotterdam,Netherlands,"3,241,819 BDT / year",2 years,4.2,117,,https://www.mastersportal.com/studies/15261/research-master-in-health-sciences-clinical-research.html?ref=search_card
Computer Science,University of Kent,England,United Kingdom,"3,769,692 BDT / year",1 year,4,72,2%,https://www.mastersportal.com/studies/8771/computer-science.html?ref=search_card
Computer Science (Cyber Security),University of Kent,England,United Kingdom,"3,769,692 BDT / year",1 year,4,72,2%,https://www.mastersportal.com/studies/331596/computer-science.html?ref=search_card
Computer Science (Artificial Intelligence),University of Kent,England,United Kingdom,"3,769,692 BDT / year",1 year,4,72,2%,https://www.mastersportal.com/studies/331595/computer-science.html?ref=search_card
Human-Technology Interaction - Mastertrack Human-Centered AI,Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,"2,959,921 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/449429/human-technology-interaction-mastertrack-human-centered-ai.html?ref=search_card
Business Analysis and Performance Management,NHH Norwegian School of Economics,Bergen,Norway,"2,382,508 BDT / year",2 years,4.8,8,,https://www.mastersportal.com/studies/290194/business-analysis-and-performance-management.html?ref=search_card
Robotics,Mohamed bin Zayed University of Artificial Intelligence,Abu Dhabi,United Arab Emirates,Free,2 years,3.8,11,,https://www.mastersportal.com/studies/407573/robotics.html?ref=search_card
Game Technology,Breda University of Applied Sciences (BUas),Breda,Netherlands,"2,346,795 BDT / year",1 year,4.4,98,,https://www.mastersportal.com/studies/60245/game-technology.html?ref=search_card
Artificial Intelligence,University of Cyprus,Nicosia,Cyprus,"481,481 BDT / year",1½ year,4.1,115,3%,https://www.mastersportal.com/studies/371633/artificial-intelligence.html?ref=search_card
Digital Marketing and Analytics,University of Kent,England,United Kingdom,"3,962,187 BDT / year",1 year,4,72,2%,https://www.mastersportal.com/studies/154026/digital-marketing-and-analytics.html?ref=search_card
Natural Language Processing,Mohamed bin Zayed University of Artificial Intelligence,Abu Dhabi,United Arab Emirates,Free,2 years,3.8,11,,https://www.mastersportal.com/studies/292886/natural-language-processing.html?ref=search_card
Business Analytics,NHH Norwegian School of Economics,Bergen,Norway,"2,382,508 BDT / year",2 years,4.8,8,,https://www.mastersportal.com/studies/249344/business-analytics.html?ref=search_card
Computer Science,Mohamed bin Zayed University of Artificial Intelligence,Abu Dhabi,United Arab Emirates,Free,2 years,3.8,11,,https://www.mastersportal.com/studies/407576/computer-science.html?ref=search_card
Management of AI and Machine Learning,UBI Business School,Brussels,Belgium,"2,396,127 BDT / year",1 year,3.9,33,,https://www.mastersportal.com/studies/403829/management-of-ai-and-machine-learning.html?ref=search_card
Electrical and Computer Engineering,Abdullah Gül University (AGU),Kayseri,Turkey,"121,856 BDT / year",2 years,4.1,261,,https://www.mastersportal.com/studies/59927/electrical-and-computer-engineering.html?ref=search_card
Innovation Management - Mastertrack AI and Digital Innovation,Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,"2,959,921 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/449454/innovation-management-mastertrack-ai-and-digital-innovation.html?ref=search_card
International Master in Management of IT (IMMIT),Tilburg University,Tilburg,Netherlands,"1,933,111 BDT / year",2 years,4.1,128,3%,https://www.mastersportal.com/studies/372940/international-master-in-management-of-it.html?ref=search_card
Data Analytics for Business,ISEG - Lisbon School of Economics and Management,Lisbon,Portugal,"925,469 BDT / year",1½ year,4,28,4%,https://www.mastersportal.com/studies/289204/data-analytics-for-business.html?ref=search_card
Health Data Science,London School of Hygiene and Tropical Medicine,England,United Kingdom,"4,805,957 BDT / year",1 year,4.5,13,4%,https://www.mastersportal.com/studies/288655/health-data-science.html?ref=search_card
Data Science in Business and Entrepreneurship,Tilburg University,N/A,Multiple locations,"3,199,534 BDT / year",2 years,4.1,128,3%,https://www.mastersportal.com/studies/363463/data-science-in-business-and-entrepreneurship.html?ref=search_card
Advanced Computer Science,Liverpool Hope University,England,United Kingdom,"2,646,805 BDT / year",1 year,4.1,30,,https://www.mastersportal.com/studies/382834/advanced-computer-science.html?ref=search_card
Data Science,University of Gloucestershire,England,United Kingdom,"2,879,403 BDT / year",1 year,4.2,26,,https://www.mastersportal.com/studies/317588/data-science.html?ref=search_card
"Architecture, Building And Planning - Mastertrack Smart Mobility Data Science and Analytics",Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,"2,959,921 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/308330/architecture-building-and-planning-mastertrack-smart-mobility-data-science-and-analytics.html?ref=search_card
Data Science and Society,Tilburg University,Tilburg,Netherlands,"3,199,534 BDT / year",1 year,4.1,128,3%,https://www.mastersportal.com/studies/317204/data-science-and-society.html?ref=search_card
Human-Technology Interaction - Mastertrack Robots for Humans,Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,"2,959,921 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/449439/human-technology-interaction-mastertrack-robots-for-humans.html?ref=search_card
Energy Systems and Data Analytics,UCL,England,United Kingdom,"6,288,168 BDT / year",1 year,4.1,138,0.10%,https://www.mastersportal.com/studies/287655/energy-systems-and-data-analytics.html?ref=search_card
Business Analytics and Operations Research,Tilburg University,Tilburg,Netherlands,"2,804,878 BDT / year",1 year,4.1,128,3%,https://www.mastersportal.com/studies/8737/business-analytics-and-operations-research.html?ref=search_card
Communication and Information Sciences,Tilburg University,Tilburg,Netherlands,"2,804,878 BDT / year",1 year,4.1,128,3%,https://www.mastersportal.com/studies/17423/communication-and-information-sciences.html?ref=search_card
Marketing Analytics,Tilburg University,Tilburg,Netherlands,"2,804,878 BDT / year",1 year,4.1,128,3%,https://www.mastersportal.com/studies/8735/marketing-analytics.html?ref=search_card
Data Science,Liverpool Hope University,England,United Kingdom,"2,646,805 BDT / year",1 year,4.1,30,,https://www.mastersportal.com/studies/382867/data-science.html?ref=search_card
Human-Technology Interaction,Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,"2,959,921 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/19/human-technology-interaction.html?ref=search_card
Statistics and Data Science,Mohamed bin Zayed University of Artificial Intelligence,Abu Dhabi,United Arab Emirates,Free,2 years,3.8,11,,https://www.mastersportal.com/studies/474863/statistics-and-data-science.html?ref=search_card
Innovation Management - Mastertrack Technology Entrepreneurship and Strategy,Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,"2,959,921 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/449448/innovation-management-mastertrack-technology-entrepreneurship-and-strategy.html?ref=search_card
Communication and Information Sciences - New Media Design,Tilburg University,Tilburg,Netherlands,"2,804,878 BDT / year",1 year,4.1,128,3%,https://www.mastersportal.com/studies/48648/communication-and-information-sciences-new-media-design.html?ref=search_card
Software Engineering,Mälardalen University,Eskilstuna,Sweden,"1,725,889 BDT / year",2 years,4.3,13,9%,https://www.mastersportal.com/studies/21199/software-engineering.html?ref=search_card
Economics - Data Science,Tilburg University,Tilburg,Netherlands,"2,804,878 BDT / year",1 year,4.1,128,3%,https://www.mastersportal.com/studies/445119/economics-data-science.html?ref=search_card
Data Science,Schiller International University,N/A,Multiple locations,"2,334,109 BDT / year",1 year,4.1,15,,https://www.mastersportal.com/studies/457726/data-science.html?ref=search_card
Human-Technology Interaction - Mastertrack Behavioral and Social Computing,Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,"2,959,921 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/449441/human-technology-interaction-mastertrack-behavioral-and-social-computing.html?ref=search_card
Human-Technology Interaction - Mastertrack Environmental Psychology,Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,"2,959,921 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/449444/human-technology-interaction-mastertrack-environmental-psychology.html?ref=search_card
Information Management - Strategy and Governance,Tilburg University,Tilburg,Netherlands,"3,368,672 BDT / year",1 year,4.1,128,3%,https://www.mastersportal.com/studies/8724/information-management-strategy-and-governance.html?ref=search_card
Operations Management and Logistics - Mastertrack Analytics for Transport and Mobility,Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,"2,959,921 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/449468/operations-management-and-logistics-mastertrack-analytics-for-transport-and-mobility.html?ref=search_card
Information Technology,Åbo Akademi University,Turku,Finland,"1,691,384 BDT / year",2 years,3.6,15,4%,https://www.mastersportal.com/studies/153951/information-technology.html?ref=search_card
Social Sciences and Digital Data,University of Padua,Padua,Italy,"386,058 BDT / year",2 years,4.2,511,1%,https://www.mastersportal.com/studies/478976/social-sciences-and-digital-data.html?ref=search_card
Data Science,University of Cyprus,Nicosia,Cyprus,"481,481 BDT / year",1½ year,4.1,115,3%,https://www.mastersportal.com/studies/318169/data-science.html?ref=search_card
Econometrics - Data Analytics,University of Amsterdam,Amsterdam,Netherlands,"2,799,240 BDT / year",1 year,4.2,125,0.50%,https://www.mastersportal.com/studies/309258/econometrics-data-analytics.html?ref=search_card
Applied Quantum Technology,The Hague University of Applied Sciences,Delft,Netherlands,"1,432,602 BDT / year",2 years,3.9,63,,https://www.mastersportal.com/studies/487634/applied-quantum-technology.html?ref=search_card
Management Analytics,Tilburg University,Tilburg,Netherlands,"2,804,878 BDT / year",2 years,4.1,128,3%,https://www.mastersportal.com/studies/472306/management-analytics.html?ref=search_card
Business Analytics,University of Kent,England,United Kingdom,"3,962,187 BDT / year",1 year,4,72,2%,https://www.mastersportal.com/studies/30214/business-analytics.html?ref=search_card
Economics - Sustainable Development,Tilburg University,Tilburg,Netherlands,"2,804,878 BDT / year",1 year,4.1,128,3%,https://www.mastersportal.com/studies/445132/economics-sustainable-development.html?ref=search_card
Built Environment - Sustainable Heritage (Data Science),UCL,England,United Kingdom,"6,288,168 BDT / year",1 year,4.1,138,0.10%,https://www.mastersportal.com/studies/370559/built-environment-sustainable-heritage.html?ref=search_card
Machine Learning,Mohamed bin Zayed University of Artificial Intelligence,Abu Dhabi,United Arab Emirates,Free,2 years,3.8,11,,https://www.mastersportal.com/studies/292887/machine-learning.html?ref=search_card
Operations Management and Logistics - Mastertrack Smart Industry,Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,"2,959,921 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/449463/operations-management-and-logistics-mastertrack-smart-industry.html?ref=search_card
Intelligent Embedded Systems,Mälardalen University,Eskilstuna,Sweden,"1,725,889 BDT / year",2 years,4.3,13,9%,https://www.mastersportal.com/studies/21197/intelligent-embedded-systems.html?ref=search_card
Communication and Information Sciences - Communication and Cognition,Tilburg University,Tilburg,Netherlands,"2,804,878 BDT / year",1 year,4.1,128,3%,https://www.mastersportal.com/studies/10790/communication-and-information-sciences-communication-and-cognition.html?ref=search_card
Cognitive Science and Artificial Intelligence,Tilburg University,Tilburg,Netherlands,"3,368,672 BDT / year",2 years,4.1,128,3%,https://www.mastersportal.com/studies/10749/cognitive-science-and-artificial-intelligence.html?ref=search_card
Cyber Security,University of Gloucestershire,England,United Kingdom,"2,879,403 BDT / year",1 year,4.2,26,,https://www.mastersportal.com/studies/379835/cyber-security.html?ref=search_card
Finance - Data Science,Tilburg University,Tilburg,Netherlands,"2,804,878 BDT / year",1 year,4.1,128,3%,https://www.mastersportal.com/studies/445139/finance-data-science.html?ref=search_card
Information Management - Intelligence and Innovation,Tilburg University,Tilburg,Netherlands,"2,804,878 BDT / year",1 year,4.1,128,3%,https://www.mastersportal.com/studies/476347/information-management-intelligence-and-innovation.html?ref=search_card
Next Level Engineering,The Hague University of Applied Sciences,Delft,Netherlands,"1,432,602 BDT / year",1 year,3.9,63,,https://www.mastersportal.com/studies/456572/next-level-engineering.html?ref=search_card
Computer Vision,Mohamed bin Zayed University of Artificial Intelligence,Abu Dhabi,United Arab Emirates,Free,2 years,3.8,11,,https://www.mastersportal.com/studies/292888/computer-vision.html?ref=search_card
Information Technology for Enterprise Management (ITEM),Tilburg University,Tilburg,Netherlands,"2,325,652 BDT / year",1½ year,4.1,128,3%,https://www.mastersportal.com/studies/465334/information-technology-for-enterprise-management.html?ref=search_card
Medical and Sports Technologies,MCI - The Entrepreneurial School®,Innsbruck,Austria,"2,114,230 BDT / year",2 years,4.6,88,,https://www.mastersportal.com/studies/288918/medical-and-sports-technologies.html?ref=search_card
Data Science for Business and Economics,Abdullah Gül University (AGU),Kayseri,Turkey,"121,856 BDT / year",2 years,4.1,261,,https://www.mastersportal.com/studies/287509/data-science-for-business-and-economics.html?ref=search_card
Software Engineering,Blekinge Institute of Technology,Karlskrona,Sweden,"894,905 BDT / year",2 years,3.3,10,,https://www.mastersportal.com/studies/2711/software-engineering.html?ref=search_card
Computer Science,Blekinge Institute of Technology,Karlskrona,Sweden,"894,905 BDT / year",2 years,3.3,10,,https://www.mastersportal.com/studies/2702/computer-science.html?ref=search_card
Data Science for Biology,The University of Edinburgh,Scotland,United Kingdom,"7,284,329 BDT / year",1 year,4.1,151,0.50%,https://www.mastersportal.com/studies/386688/data-science-for-biology.html?ref=search_card
Computer Science,Eötvös Loránd University,Budapest,Hungary,"902,071 BDT / year",2 years,4.3,276,3%,https://www.mastersportal.com/studies/13850/computer-science.html?ref=search_card
Information Technology,Ostwestfalen - Lippe University of Applied Sciences,Lemgo,Germany,Free,2 years,4.7,3,,https://www.mastersportal.com/studies/14854/information-technology.html?ref=search_card
Computer Science,Linköping University,Linköping,Sweden,"1,793,646 BDT / year",2 years,4.2,38,2%,https://www.mastersportal.com/studies/143/computer-science.html?ref=search_card
Statistics and Machine Learning,Linköping University,Linköping,Sweden,"1,733,559 BDT / year",2 years,4.2,38,2%,https://www.mastersportal.com/studies/152/statistics-and-machine-learning.html?ref=search_card
Computer Systems and Networks,Chalmers University of Technology,Göteborg,Sweden,"2,045,497 BDT / year",2 years,3.7,26,2%,https://www.mastersportal.com/studies/127/computer-systems-and-networks.html?ref=search_card
Software Engineering and Technology,Chalmers University of Technology,Göteborg,Sweden,"2,045,497 BDT / year",2 years,3.7,26,2%,https://www.mastersportal.com/studies/133/software-engineering-and-technology.html?ref=search_card
Information and Communication Engineering (iCE),Darmstadt University of Technology,Darmstadt,Germany,Free,2 years,3.8,31,2%,https://www.mastersportal.com/studies/1063/information-and-communication-engineering.html?ref=search_card
Wireless Communications,Lund University,Lund,Sweden,"2,173,341 BDT / year",2 years,4.5,111,0.50%,https://www.mastersportal.com/studies/177/wireless-communications.html?ref=search_card
Computer Science,ETH Zurich - Swiss Federal Institute of Technology,Zürich,Switzerland,"220,223 BDT / year",2 years,4.1,55,0.10%,https://www.mastersportal.com/studies/654/computer-science.html?ref=search_card
Electrical Engineering and Information Technology,ETH Zurich - Swiss Federal Institute of Technology,Zürich,Switzerland,"220,223 BDT / year",2 years,4.1,55,0.10%,https://www.mastersportal.com/studies/655/electrical-engineering-and-information-technology.html?ref=search_card
Human Computer Interaction,University of Trento,Rovereto,Italy,"845,692 BDT / year",2 years,4,117,2%,https://www.mastersportal.com/studies/10552/human-computer-interaction.html?ref=search_card
Electrical Engineering and Information Technology,Deggendorf Institute of Technology,Deggendorf,Germany,Free,1½ year,4.2,76,,https://www.mastersportal.com/studies/15276/electrical-engineering-and-information-technology.html?ref=search_card
Interactive Media,University of Applied Sciences Upper Austria,Hagenberg im Mühlkreis,Austria,"204,939 BDT / year",2 years,4.3,21,,https://www.mastersportal.com/studies/14689/interactive-media.html?ref=search_card
Information Technology (Business),Heriot-Watt University,Scotland,United Kingdom,"4,087,309 BDT / year",1 year,4.2,81,3%,https://www.mastersportal.com/studies/11184/information-technology.html?ref=search_card
Serious Games,University of Skövde,Skövde,Sweden,"1,725,889 BDT / year",1 year,4.5,23,,https://www.mastersportal.com/studies/31833/serious-games.html?ref=search_card
Applied Instrumentation and Control,Glasgow Caledonian University,Scotland,United Kingdom,"2,598,682 BDT / year",1 year,4.4,95,5%,https://www.mastersportal.com/studies/27608/applied-instrumentation-and-control.html?ref=search_card
Computer Science and Engineering - Mastertrack Cybersecurity,Eindhoven University of Technology (TU/e),Eindhoven,Netherlands,"3,058,585 BDT / year",2 years,4.2,68,2%,https://www.mastersportal.com/studies/23620/computer-science-and-engineering-mastertrack-cybersecurity.html?ref=search_card
Innovative Computing,University of Buckingham,England,United Kingdom,"2,887,424 BDT / year",1 year,3.9,17,,https://www.mastersportal.com/studies/15247/innovative-computing.html?ref=search_card
Strategic Information Systems Management,Stockholm University,Stockholm,Sweden,"1,725,889 BDT / year",2 years,3.9,98,1%,https://www.mastersportal.com/studies/22819/strategic-information-systems-management.html?ref=search_card
Information Systems,University of Liechtenstein,N/A,Multiple locations,"377,094 BDT / year",2 years,4.5,10,,https://www.mastersportal.com/studies/25716/information-systems.html?ref=search_card
Computer Science,Brown University,Rhode Island,United States,"1,292,401 BDT / module",1 year,4.6,16,0.50%,https://www.mastersportal.com/studies/61115/computer-science.html?ref=search_card
Computer Engineering,Clemson University,South Carolina,United States,"3,567,447 BDT / year",2 years,4,10,4%,https://www.mastersportal.com/studies/61449/computer-engineering.html?ref=search_card
Information Technology,Fordham University,New York,United States,"8,475,306 BDT / year",1 year,4.3,24,6%,https://www.mastersportal.com/studies/61833/information-technology.html?ref=search_card
Information Security,Royal Holloway University of London,England,United Kingdom,"4,988,827 BDT / year",1 year,4.4,66,3%,https://www.mastersportal.com/studies/56499/information-security.html?ref=search_card
Computer Engineering,University of Florida,Florida,United States,"3,671,999 BDT / year",2 years,4.3,103,1%,https://www.mastersportal.com/studies/56167/computer-engineering.html?ref=search_card
Systems and Control,Delft University of Technology (TU Delft),Delft,Netherlands,"3,141,745 BDT / year",2 years,4.2,64,0.50%,https://www.mastersportal.com/studies/346/systems-and-control.html?ref=search_card
