Program Name,University Name,City,Country,Tuition Fee,Duration,Average Rating,Review Count,Ranking_Percentage,Program Link
Business Analytics,Xi'an Jiaotong-Liverpool University,Suzhou,China,"2,063,966 BDT / year",1½ year,4.2,19,4%,https://www.mastersportal.com/studies/81946/business-analytics.html?ref=search_card
Information Systems,Carl H. Lindner College of Business,Ohio,United States,"3,825,293 BDT / year",1½ year,4.2,17,3%,https://www.mastersportal.com/studies/285502/information-systems.html?ref=search_card
Computer Science,IU International University of Applied Sciences,Berlin,Germany,,2 years,4.3,284,,https://www.mastersportal.com/studies/293702/computer-science.html?ref=search_card
SAP Engineering and Analytics,Fresenius University of Applied Sciences,Heidelberg,Germany,"1,606,814 BDT / year",2 years,4.3,13,,https://www.mastersportal.com/studies/476225/sap-engineering-and-analytics.html?ref=search_card
Cyber Security,University of Bradford,England,United Kingdom,"4,072,711 BDT / year",1 year,4.4,54,4%,https://www.mastersportal.com/studies/254410/cyber-security.html?ref=search_card
Big Data Analytics Stream: Applied Modelling and Quantitative Methods,Trent University,Oshawa,Canada,"427,734 BDT / year","1 year, 4 months",4.3,46,9%,https://www.mastersportal.com/studies/137875/big-data-analytics-stream-applied-modelling-and-quantitative-methods.html?ref=search_card
Artificial Intelligence,University of York,England,United Kingdom,"5,117,157 BDT / year",1 year,4.3,136,1%,https://www.mastersportal.com/studies/373465/artificial-intelligence.html?ref=search_card
Data Science,UWE Bristol (University of the West of England),England,United Kingdom,"2,887,424 BDT / year",1 year,4.4,110,4%,https://www.mastersportal.com/studies/293556/data-science.html?ref=search_card
Wireless Communications,Liverpool John Moores University,England,United Kingdom,"2,927,527 BDT / year",2 years,4.3,145,3%,https://www.mastersportal.com/studies/274970/wireless-communications.html?ref=search_card
Finance and Data Analytics,University of Brighton,England,United Kingdom,"2,871,383 BDT / year",1 year,4.1,50,4%,https://www.mastersportal.com/studies/486574/finance-and-data-analytics.html?ref=search_card
Applied Informatics,Xi'an Jiaotong-Liverpool University,Suzhou,China,"2,063,966 BDT / year",1½ year,4.2,19,4%,https://www.mastersportal.com/studies/81839/applied-informatics.html?ref=search_card
Computing and Information Systems,Liverpool John Moores University,England,United Kingdom,"2,927,527 BDT / year",1 year,4.3,145,3%,https://www.mastersportal.com/studies/140137/computing-and-information-systems.html?ref=search_card
Biotechnology,Fordham University,New York,United States,"6,331,621 BDT / year",1 year,4.3,24,6%,https://www.mastersportal.com/studies/477860/biotechnology.html?ref=search_card
Computing Science,Utrecht University,Utrecht,Netherlands,"3,443,657 BDT / year",2 years,4.2,138,2%,https://www.mastersportal.com/studies/548/computing-science.html?ref=search_card
Cyber Security and Forensics,University of Westminster,England,United Kingdom,"2,807,218 BDT / year",1 year,4.3,129,6%,https://www.mastersportal.com/studies/134796/cyber-security-and-forensics.html?ref=search_card
Computer Engineering,Colorado State University,Colorado,United States,"3,846,496 BDT / year",2 years,4.1,109,2%,https://www.mastersportal.com/studies/221490/computer-engineering.html?ref=search_card
Cyber Security and Data Analytics,Loughborough University,England,United Kingdom,"4,956,744 BDT / year",1 year,4.4,54,2%,https://www.mastersportal.com/studies/152329/cyber-security-and-data-analytics.html?ref=search_card
Game Design,Full Sail University,Florida,United States,"4,386,804 BDT / year",1 year,4.4,16,,https://www.mastersportal.com/studies/133463/game-design.html?ref=search_card
Applied Artificial Intelligence and Data Analytics,University of Bradford,England,United Kingdom,"3,447,263 BDT / year",1 year,4.4,54,4%,https://www.mastersportal.com/studies/309550/applied-artificial-intelligence-and-data-analytics.html?ref=search_card
Artificial Intelligence and Data Science,Bangor University,Wales,United Kingdom,"3,208,249 BDT / year",1 year,4.4,79,3%,https://www.mastersportal.com/studies/458570/artificial-intelligence-and-data-science.html?ref=search_card
Data Science,University of Greenwich,England,United Kingdom,"2,999,713 BDT / year",1 year,4.2,134,4%,https://www.mastersportal.com/studies/318763/data-science.html?ref=search_card
Digital Innovation and Research,USTP – University of Applied Sciences St. Pölten,Sankt Pölten,Austria,"422,846 BDT / year",2 years,4.6,405,,https://www.mastersportal.com/studies/292680/digital-innovation-and-research.html?ref=search_card
Health Informatics,New England College,New Hampshire,United States,"1,876,090 BDT / year",1½ year,1.5,2,,https://www.mastersportal.com/studies/216594/health-informatics.html?ref=search_card
Cybersecurity,"University of Maryland, Baltimore County (UMBC)",Maryland,United States,"3,270,363 BDT / year",2 years,4.2,9,4%,https://www.mastersportal.com/studies/483522/cybersecurity.html?ref=search_card
Data Science,Ulster University,Derry,Ireland,"3,808,993 BDT / year",1½ year,4.2,57,3%,https://www.mastersportal.com/studies/318834/data-science.html?ref=search_card
Computer Science,"University of California, Riverside",California,United States,"2,294,299 BDT / year",2 years,4.8,8,2%,https://www.mastersportal.com/studies/486089/computer-science.html?ref=search_card
Artificial Intelligence for Banking and Finance,Università Cattolica del Sacro Cuore,Gavardo,Italy,"1,320,689 BDT / year",2 years,4,111,2%,https://www.mastersportal.com/studies/313060/artificial-intelligence-for-banking-and-finance.html?ref=search_card
Business Analytics and Marketing,University of Dundee,Scotland,United Kingdom,"3,689,486 BDT / year",1 year,4.1,67,2%,https://www.mastersportal.com/studies/460769/business-analytics-and-marketing.html?ref=search_card
Advanced Computer Science,University of Essex,England,United Kingdom,"3,769,692 BDT / year",1 year,4.2,104,2%,https://www.mastersportal.com/studies/12939/advanced-computer-science.html?ref=search_card
Professional Software Development (Data Science),Ulster University,Derry,Ireland,"2,856,946 BDT / year",1 year,4.2,57,3%,https://www.mastersportal.com/studies/399400/professional-software-development.html?ref=search_card
Data Science,The University of Texas at Arlington,Texas,United States,"2,861,902 BDT / year",2 years,4.3,42,4%,https://www.mastersportal.com/studies/377017/data-science.html?ref=search_card
Advanced Software Engineering (Distance Learning),University of Leicester,England,United Kingdom,"3,793,754 BDT / year",1 year,4.3,91,2%,https://www.mastersportal.com/studies/262551/advanced-software-engineering.html?ref=search_card
Mathematics and Data Science,University of Stirling,Scotland,United Kingdom,"3,898,022 BDT / year",1 year,4.2,71,3%,https://www.mastersportal.com/studies/273313/mathematics-and-data-science.html?ref=search_card
Geographic Information Science,California State University Long Beach,California,United States,"2,558,969 BDT / year",1 year,4.3,23,9%,https://www.mastersportal.com/studies/74454/geographic-information-science.html?ref=search_card
Master of Science by coursework and thesis,Victoria University of Wellington,Wellington,New Zealand,"2,940,445 BDT / year",1 year,4.1,74,2%,https://www.mastersportal.com/studies/389373/master-of-science-by-coursework-and-thesis.html?ref=search_card
Web and Mobile Development Technologies,Northumbria University,England,United Kingdom,"3,360,641 BDT / year",1 year,4.2,181,3%,https://www.mastersportal.com/studies/352807/web-and-mobile-development-technologies.html?ref=search_card
Artificial Intelligence,Écoles d'Ingénieurs - Engineering School (ECE),Bordeaux,France,"1,767,496 BDT / year",2 years,4,2,,https://www.mastersportal.com/studies/472148/artificial-intelligence.html?ref=search_card
Business Analytics - San Antonio,Webster University,Texas,United States,"2,266,516 BDT / year",1½ year,4,13,,https://www.mastersportal.com/studies/484745/business-analytics-san-antonio.html?ref=search_card
Artificial Intelligence for Business,University of Hull,England,United Kingdom,"2,406,187 BDT / year",1 year,4.2,93,3%,https://www.mastersportal.com/studies/484421/artificial-intelligence-for-business.html?ref=search_card
Venture Creation,National University of Singapore,Singapore,Singapore,"5,616,226 BDT / year",1 year,4.4,64,0.50%,https://www.mastersportal.com/studies/304486/venture-creation.html?ref=search_card
Cyber Security,University of Birmingham,England,United Kingdom,"5,572,728 BDT / year",1 year,4.2,69,0.50%,https://www.mastersportal.com/studies/150882/cyber-security.html?ref=search_card
Business Analytics,Queen's University Belfast,N Ireland,United Kingdom,"4,138,641 BDT / year",1 year,4.3,88,2%,https://www.mastersportal.com/studies/286682/business-analytics.html?ref=search_card
Computer Science - Adaptive Cybersecurity,University of Galway,Galway,Ireland,"3,946,562 BDT / year",1 year,4.1,86,2%,https://www.mastersportal.com/studies/449484/computer-science-adaptive-cybersecurity.html?ref=search_card
Cybersecurity Management,Écoles d'Ingénieurs - Engineering School (ECE),Bordeaux,France,"1,543,388 BDT / year",2 years,4,2,,https://www.mastersportal.com/studies/472149/cybersecurity-management.html?ref=search_card
Computing,University of Sunderland,England,United Kingdom,"2,727,011 BDT / year",1 year,4.2,126,,https://www.mastersportal.com/studies/165758/computing.html?ref=search_card
Computer Science,Florida International University (FIU),Florida,United States,"2,316,964 BDT / year",2 years,4.3,95,3%,https://www.mastersportal.com/studies/284257/computer-science.html?ref=search_card
Computing,Sheffield Hallam University,England,United Kingdom,"2,843,310 BDT / year",1 year,4.2,89,5%,https://www.mastersportal.com/studies/87675/computing.html?ref=search_card
Cybersecurity,University West,Trollhättan,Sweden,"1,789,810 BDT / year",1 year,3.8,27,,https://www.mastersportal.com/studies/324454/cybersecurity.html?ref=search_card
Business Analytics,University of Bristol,England,United Kingdom,"5,437,982 BDT / year",1 year,4.3,99,0.50%,https://www.mastersportal.com/studies/304377/business-analytics.html?ref=search_card
Security and Network Engineering,University of Amsterdam,Amsterdam,Netherlands,"4,834,538 BDT / year",1 year,4.2,125,0.50%,https://www.mastersportal.com/studies/32502/security-and-network-engineering.html?ref=search_card
Science (Computer Science),Flinders University,South Australia,Australia,"2,680,728 BDT / year",2 years,4.1,45,2%,https://www.mastersportal.com/studies/110037/science.html?ref=search_card
